time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
7.0,110,1515.47,2052.47,2.0,1961.53,1751.75,2.0,537.97
7.0,111,1692.72,592.03,2.0,1688.8,604.22,2.0,12.8
7.0,112,2068.67,2059.68,2.0,2151.6,2240.28,2.0,198.73
7.0,114,-98.69,1746.62,2.0,104.35,1625.38,2.0,236.48
7.0,115,1511.64,1099.89,2.0,1361.52,962.92,2.0,203.22
7.0,116,1877.42,176.76,2.0,1928.25,53.8,2.0,133.05
7.0,117,2030.57,1101.19,2.0,2325.51,827.3,2.0,402.49
7.0,118,1465.58,1769.99,2.0,1822.85,1627.32,2.0,384.71
7.0,119,429.25,1441.4,2.0,-120.49,1351.06,2.0,557.12
7.0,121,2061.26,664.86,2.0,2125.16,560.74,2.0,122.17
7.0,122,552.09,1796.26,2.0,733.67,1473.81,2.0,370.06
7.0,123,1771.82,1237.85,2.0,1713.05,1425.02,2.0,196.19
7.0,124,384.68,2173.77,2.0,182.99,2442.94,2.0,336.35
7.0,125,597.37,1407.73,2.0,374.29,1372.65,2.0,225.82
7.0,126,-224.12,674.6,2.0,-500.0,571.81,2.0,294.4
7.0,127,548.19,2150.53,2.0,291.96,2455.78,2.0,398.54
7.0,129,1091.35,1341.36,2.0,935.91,1323.03,2.0,156.52
7.0,130,2140.45,2127.59,2.0,2186.28,2500.0,2.0,375.22
7.0,131,1880.94,-15.38,2.0,2076.77,-2.44,2.0,196.25
7.0,133,505.15,1787.22,2.0,619.56,1993.75,2.0,236.11
7.0,134,147.34,408.69,2.0,-394.05,163.38,2.0,594.37
7.0,136,1844.16,1010.93,2.0,2358.35,1167.7,2.0,537.56
7.0,137,111.83,17.04,2.0,-342.33,59.91,2.0,456.17
7.0,138,-196.74,1946.65,2.0,-500.0,2250.39,2.0,429.22
7.0,139,1596.86,1937.54,2.0,1500.84,1714.19,2.0,243.11
7.0,140,1320.86,407.85,2.0,1056.22,594.98,2.0,324.11
7.0,142,1981.34,1045.63,2.0,2468.61,952.53,2.0,496.08
7.0,143,2183.5,1318.74,2.0,2500.0,1146.37,2.0,360.39
7.0,145,1890.02,2164.87,2.0,2500.0,1883.72,2.0,671.66
7.0,146,-200.28,1577.59,2.0,-297.9,1417.73,2.0,187.31
7.0,148,819.35,832.23,2.0,345.59,137.42,2.0,840.96
7.0,149,1192.23,2168.45,2.0,1362.88,1981.06,2.0,253.45
7.0,150,392.96,2084.31,2.0,50.75,2118.21,2.0,343.89
7.0,151,2207.76,553.31,2.0,2352.54,837.54,2.0,318.98
7.0,152,1904.81,1793.79,2.0,1872.04,1945.95,2.0,155.64
7.0,153,1547.85,1630.56,2.0,1315.31,2136.86,2.0,557.14
7.0,154,466.9,2082.67,2.0,-13.01,1937.0,2.0,501.53
7.0,157,1539.3,84.44,2.0,1186.28,-142.24,2.0,419.53
7.0,158,1175.68,1405.07,2.0,1147.4,1438.68,2.0,43.92
7.0,159,1787.66,-92.64,2.0,1595.55,-213.3,2.0,226.86
7.0,160,1434.58,2186.58,2.0,1233.5,2245.25,2.0,209.46
7.0,161,60.5,1997.76,2.0,-500.0,2141.78,2.0,578.71
7.0,162,941.42,2127.06,2.0,723.17,2186.76,2.0,226.27
7.0,163,1618.9,255.7,2.0,1389.9,-44.07,2.0,377.23
7.0,165,1209.56,36.21,2.0,960.24,92.13,2.0,255.51
7.0,166,2088.33,1242.31,2.0,1934.13,1200.17,2.0,159.85
7.0,167,971.59,913.0,2.0,786.19,710.62,2.0,274.46
7.0,168,1067.38,909.87,2.0,1259.9,573.02,2.0,387.99
7.0,170,379.95,1541.03,2.0,396.27,1476.72,2.0,66.35
7.0,171,2060.59,-24.19,2.0,1862.36,-82.77,2.0,206.71
7.0,173,1571.18,343.61,2.0,1588.64,439.85,2.0,97.81
7.0,174,979.4,35.18,2.0,537.35,-223.15,2.0,512.0
7.0,175,960.35,909.69,2.0,758.58,997.22,2.0,219.93
7.0,176,2174.34,973.97,2.0,1932.31,599.91,2.0,445.53
7.0,177,-82.09,1151.08,2.0,-500.0,1033.57,2.0,434.12
7.0,178,1072.03,1636.13,2.0,1197.04,1610.57,2.0,127.59
7.0,179,2109.51,436.43,2.0,2231.14,122.1,2.0,337.05
7.0,180,1025.28,1825.24,2.0,795.1,2420.17,2.0,637.91
7.0,181,190.47,1942.88,2.0,300.51,2300.9,2.0,374.55
7.0,182,119.39,1660.84,2.0,43.1,1308.77,2.0,360.24
7.0,183,318.17,1416.41,2.0,571.4,1103.31,2.0,402.7
7.0,184,1082.38,184.62,2.0,1077.76,27.19,2.0,157.5
7.0,185,1227.42,1023.9,2.0,1067.61,1050.31,2.0,161.98
7.0,186,819.74,1215.56,2.0,740.03,1243.61,2.0,84.5
7.0,187,1451.21,2136.11,2.0,1463.25,2151.86,2.0,19.84
7.0,188,1629.45,61.98,2.0,1823.1,-1.38,2.0,203.76
7.0,190,403.15,61.91,2.0,39.63,149.21,2.0,373.85
7.0,191,1854.12,2086.62,2.0,1146.07,2500.0,2.0,819.89
7.0,192,952.95,1294.43,2.0,1091.19,1140.76,2.0,206.7
7.0,193,-133.01,517.91,2.0,129.05,33.59,2.0,550.67
7.0,194,1238.18,390.59,2.0,1140.17,391.58,2.0,98.01
7.0,195,1252.19,-53.26,2.0,1264.38,-500.0,2.0,446.91
7.0,196,2093.51,2051.47,2.0,2144.37,2255.28,2.0,210.05
7.0,197,1045.76,710.38,2.0,1062.12,651.85,2.0,60.78
7.0,198,1088.29,1183.99,2.0,1052.56,819.04,2.0,366.69
7.0,199,498.0,488.88,2.0,312.4,425.23,2.0,196.2
7.0,200,1823.56,2060.29,2.0,1944.6,2226.8,2.0,205.85
9.0,1,-155.45,1641.89,2.0,-120.95,1585.76,2.0,65.88
9.0,2,1413.81,720.76,2.0,1808.46,531.85,2.0,437.54
