timestamp,ue_id,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,rsrp_observed,ecgi,anomaly_score_wi
7.0,42,-500.0,-70.27,2.0,1.79,218.16,2.0,-60.435,001-01-0000001,0.487567
7.0,43,2106.91,661.95,2.0,1950.18,943.43,2.0,-75.251,001-01-0000001,0.905969
7.0,44,67.28,792.37,2.0,365.78,1159.45,2.0,-73.829,001-01-0000001,0.116829
7.0,45,1597.31,-315.14,2.0,1517.41,163.49,2.0,-79.096,001-01-0000001,0.516123
7.0,46,2500.0,1742.82,2.0,2149.63,1858.12,2.0,-89.733,001-01-0000001,0.490236
7.0,48,557.12,803.34,2.0,726.1,822.17,2.0,-63.047,001-01-0000001,0.878601
7.0,49,1865.56,2055.28,2.0,1958.33,1547.2,2.0,-77.635,001-01-0000001,0.93262
7.0,50,223.79,-34.69,2.0,600.73,-42.76,2.0,-62.472,001-01-0000001,0.117042
7.0,51,1943.52,197.66,2.0,1737.41,303.6,2.0,-71.264,001-01-0000001,0.942852
7.0,53,821.16,287.22,2.0,800.63,41.63,2.0,-49.786,001-01-0000001,0.995705
7.0,54,1118.81,-206.69,2.0,1052.16,328.07,2.0,-75.607,001-01-0000001,0.360417
7.0,55,287.32,1253.96,2.0,266.57,1336.99,2.0,-69.646,001-01-0000001,0.809437
7.0,56,2183.24,-58.99,2.0,2149.03,144.71,2.0,-91.66,001-01-0000001,0.05985
7.0,58,230.56,2297.21,2.0,411.12,2011.66,2.0,-76.811,001-01-0000001,0.885694
7.0,59,744.92,-340.0,2.0,790.27,-232.12,2.0,-70.199,001-01-0000001,0.36309
7.0,60,1377.79,170.41,2.0,1415.34,519.93,2.0,-71.135,001-01-0000001,0.799922
7.0,61,-279.9,1021.77,2.0,-86.1,610.54,2.0,-61.426,001-01-0000001,0.940533
7.0,62,649.2,1660.8,2.0,688.33,1477.71,2.0,-61.199,001-01-0000001,0.996154
7.0,63,1034.49,2129.04,2.0,1162.73,1894.14,2.0,-73.002,001-01-0000001,0.960883
7.0,65,2084.16,2068.71,2.0,1865.52,2120.01,2.0,-86.646,001-01-0000001,0.642103
7.0,66,806.24,625.69,2.0,869.56,794.09,2.0,-62.966,001-01-0000001,0.898623
7.0,67,1429.71,1594.15,2.0,1406.37,1628.53,2.0,-80.475,001-01-0000001,0.696861
