time_sec,imsi,ue_x,ue_y,ue_z,cell_id,ecgi,cell_role,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,10,747.944,2211.363,2.000,10,001-01-0000010,N,-72.007,-5.902,-13.376,27
1.000,10,747.944,2211.363,2.000,11,001-01-0000011,N,-75.137,-6.951,-16.705,18
1.000,10,747.944,2211.363,2.000,12,001-01-0000012,N,-85.712,-14.240,-32.596,16
1.000,10,747.944,2211.363,2.000,13,001-01-0000013,N,-87.969,-16.967,-33.927,16
1.000,10,747.944,2211.363,2.000,14,001-01-0000014,N,-93.622,-25.229,-37.726,18
1.000,10,747.944,2211.363,2.000,15,001-01-0000015,N,-90.288,-20.617,-35.049,22
1.000,10,747.944,2211.363,2.000,16,001-01-0000016,N,-84.093,-17.660,-29.329,13
1.000,10,747.944,2211.363,2.000,17,001-01-0000017,N,-73.372,0.287,-26.536,10
1.000,10,747.944,2211.363,2.000,18,001-01-0000018,N,-79.867,-9.025,-21.558,10
1.000,10,747.944,2211.363,2.000,19,001-01-0000019,N,-71.349,-4.964,-17.530,13
1.000,10,747.944,2211.363,2.000,20,001-01-0000020,N,-87.056,-19.956,-26.369,18
1.000,10,747.944,2211.363,2.000,21,001-01-0000021,N,-80.046,-8.738,-21.455,10
1.000,10,747.944,2211.363,2.000,22,001-01-0000022,S,-55.634,13.710,12.973,4
1.000,10,747.944,2211.363,2.000,23,001-01-0000023,N,-76.964,-7.878,-17.735,4
1.000,10,747.944,2211.363,2.000,24,001-01-0000024,N,-75.347,-6.542,-22.220,10
1.000,10,747.944,2211.363,2.000,25,001-01-0000025,N,-85.798,-13.074,-30.734,16
1.000,11,1764.902,970.337,2.000,26,001-01-0000001,N,-67.293,-3.458,-9.483,20
1.000,11,1764.902,970.337,2.000,2,001-01-0000002,N,-96.995,-34.736,-40.000,20
1.000,11,1764.902,970.337,2.000,3,001-01-0000003,N,-92.810,-24.705,-40.000,16
1.000,11,1764.902,970.337,2.000,4,001-01-0000004,N,-75.444,-12.538,-17.705,13
1.000,11,1764.902,970.337,2.000,5,001-01-0000005,N,-82.869,-16.103,-33.834,13
1.000,11,1764.902,970.337,2.000,6,001-01-0000006,N,-73.555,-8.324,-16.878,23
1.000,11,1764.902,970.337,2.000,7,001-01-0000007,N,-77.508,-11.329,-22.824,17
1.000,11,1764.902,970.337,2.000,8,001-01-0000008,N,-78.290,-11.886,-24.676,11
1.000,11,1764.902,970.337,2.000,9,001-01-0000009,N,-60.816,4.059,-9.509,7
1.000,11,1764.902,970.337,2.000,10,001-01-0000010,N,-75.583,-10.254,-22.550,7
1.000,11,1764.902,970.337,2.000,11,001-01-0000011,N,-106.219,-40.000,-40.000,23
1.000,11,1764.902,970.337,2.000,12,001-01-0000012,N,-93.861,-29.687,-40.000,16
1.000,11,1764.902,970.337,2.000,13,001-01-0000013,N,-76.566,-14.273,-17.920,10
1.000,11,1764.902,970.337,2.000,14,001-01-0000014,N,-62.351,0.978,-12.303,3
1.000,11,1764.902,970.337,2.000,15,001-01-0000015,S,-52.069,11.087,6.602,3
1.000,11,1764.902,970.337,2.000,16,001-01-0000016,N,-93.079,-28.676,-40.000,24
1.000,11,1764.902,970.337,2.000,17,001-01-0000017,N,-81.274,-15.166,-28.080,18
1.000,11,1764.902,970.337,2.000,18,001-01-0000018,N,-68.919,-4.258,-20.026,12
1.000,11,1764.902,970.337,2.000,19,001-01-0000019,N,-74.579,-5.402,-22.725,8
1.000,11,1764.902,970.337,2.000,20,001-01-0000020,N,-68.762,-6.515,-13.634,7
1.000,11,1764.902,970.337,2.000,21,001-01-0000021,N,-107.808,-40.000,-40.000,26
1.000,11,1764.902,970.337,2.000,22,001-01-0000022,N,-91.081,-26.127,-37.225,21
1.000,11,1764.902,970.337,2.000,23,001-01-0000023,N,-96.024,-35.389,-40.000,16
1.000,11,1764.902,970.337,2.000,24,001-01-0000024,N,-81.943,-14.480,-30.170,14
1.000,11,1764.902,970.337,2.000,25,001-01-0000025,N,-81.108,-12.228,-28.833,14
1.000,12,-35.315,129.634,2.000,1,001-01-0000001,S,-48.396,14.657,5.032,2
1.000,12,-35.315,129.634,2.000,2,001-01-0000002,N,-58.667,4.923,-9.712,7
1.000,12,-35.315,129.634,2.000,3,001-01-0000003,N,-74.717,-13.088,-28.739,13
1.000,12,-35.315,129.634,2.000,4,001-01-0000004,N,-90.731,-29.757,-40.000,20
1.000,12,-35.315,129.634,2.000,5,001-01-0000005,N,-102.491,-40.000,-40.000,26
1.000,12,-35.315,129.634,2.000,6,001-01-0000006,N,-84.959,-22.095,-35.486,5
1.000,12,-35.315,129.634,2.000,7,001-01-0000007,N,-78.601,-19.173,-28.935,8
1.000,12,-35.315,129.634,2.000,8,001-01-0000008,N,-93.144,-26.214,-40.000,14
1.000,12,-35.315,129.634,2.000,9,001-01-0000009,N,-68.783,-10.254,-20.268,20
1.000,12,-35.315,129.634,2.000,10,001-01-0000010,N,-99.175,-40.000,-40.000,26
1.000,12,-35.315,129.634,2.000,11,001-01-0000011,N,-85.274,-18.876,-39.323,11
1.000,12,-35.315,129.634,2.000,12,001-01-0000012,N,-94.626,-37.191,-40.000,13
1.000,12,-35.315,129.634,2.000,13,001-01-0000013,N,-89.164,-27.600,-40.000,17
1.000,12,-35.315,129.634,2.000,14,001-01-0000014,N,-96.694,-34.905,-40.000,23
1.000,12,-35.315,129.634,2.000,15,001-01-0000015,N,-81.175,-18.998,-32.537,28
1.000,12,-35.315,129.634,2.000,16,001-01-0000016,N,-85.905,-25.910,-40.000,18
